Name,B,G
1113492_Cs3YF6,25.3614,14.1269
23475_Rb2PbCl6,9.587810000000001,4.02921
1113300_Cs2InHgBr6,21.8124,5.13154
864939_Hf2CuIr,188.02700000000002,31.3334
1112894_Cs2InAsCl6,19.5777,8.64119
865140_MnGaRu2,238.58900000000003,95.8483
989504_Na2LiNF6,66.5728,33.7206
1111652_K2NaAlCl6,22.4651,11.9779
24412_K2NaAlH6,27.1098,22.0694
1111051_Na2AlTlF6,44.5146,17.0211
973203_Sb3Mo,104.478,81.5578
1113427_CsRb2AsF6,35.6237,14.1535
1114490_Rb3AlF6,41.7955,15.395999999999999
23209_SrCl2,34.218,14.1887
1008918_CdN,120.697,29.6443
977575_MgSbRu2,172.861,91.5852
867148_LiHfRh2,151.442,63.1863
30658_VGaNi2,179.755,56.1499
1113376_Rb2AgAsCl6,25.5107,9.723410000000001
1113543_Cs2AgAsCl6,26.0918,8.60495
862725_ScTc2W,225.263,88.1996
2493_CeN,156.316,81.0366
980649_TiNbRu2,222.517,87.0131
1112121_Cs2RbSbBr6,13.2275,5.62436
1113317_Na2LiSbCl6,22.9108,8.240969999999999
973353_SbPt3,183.52900000000002,26.8541
1078988_Mg7V,47.2747,16.9489
1112105_Cs2TlSbI6,12.1256,5.73832
2863_CeCd3,56.4407,22.8386
30595_CuSnRh2,151.465,63.8114
1114577_Rb2LiSbI6,14.6036,6.148630000000001
19282_Sr2ZnWO6,143.30100000000002,65.407
644481_ScO,173.93900000000002,64.0492
1114429_Rb2LiScCl6,21.1693,8.77848
2746_MoC,347.529,238.87
1111374_K3SbCl6,17.9553,7.26932
977353_Ta2ReMo,267.23900000000003,137.366
1079096_Cs2NaLaBr6,14.462,6.52171
1111587_K2TlAsF6,46.7242,17.98
1112960_CsInF3,36.3887,14.4835
10887_HfAlCu2,130.8,49.2664
555491_ZrCoF6,94.4264,40.2157
1114482_Rb2TlRhF6,44.3679,16.4531
1114386_Rb2AlInF6,45.6185,14.9232
1112988_Cs2NaGaCl6,19.0472,9.93643
24292_Sr2H6Ru,50.16,32.4096
866183_Ti2ZnRe,169.771,53.0534
867807_LiYTl2,42.1047,24.7531
1113614_Cs2AlAgF6,44.4503,14.0585
1114552_K2RbTaCl6,19.0571,7.034960000000001
1111210_K2RbSbBr6,13.7291,5.1641699999999995
867922_ScAlRh2,171.13400000000001,87.2197
1114056_Na2GaHgCl6,27.7866,4.45476
22862_NaCl,23.8895,15.2294
1113059_Cs2KAlCl6,16.3979,8.35196
22441_Ba2MgReO6,123.285,76.7535
1110631_Rb2NaGaBr6,17.4047,9.00688
861735_AcMgTl2,42.2238,4.33674
1112209_K2AlHgF6,44.1517,12.6908
2291_Si2Ni,131.36,31.2094
989541_Rb2NaSbF6,43.5117,20.1858
1113661_Rb2SbAuBr6,25.8951,4.34545
1002165_GeC,175.68,122.26799999999999
972048_Zn6Mo,92.5071,40.2451
1114351_K2RbMoCl6,19.0597,9.762080000000001
1113877_Rb2YAgF6,40.4212,12.5646
1112563_Cs2TlSbF6,35.6488,15.0366
1079436_NaV(NF3)2,49.0588,15.376
5033_Tl2SiF6,35.5296,6.83015
982595_Na3Re,26.5365,9.16713
1114685_Rb2TiTlF6,44.1257,18.329
1114376_Rb3RhF6,33.5437,11.2779
631316_Li2GaSb,36.4003,31.2007
1111547_NaLi2RuF6,55.2338,23.238000000000003
20194_CeO2,181.845,77.0181
977556_MgScCd2,59.8381,38.1429
1111153_K3YBr6,12.9963,6.0826400000000005
644500_Zn7Mo,95.85,31.4789
1114057_Na2GaHgF6,49.5471,13.9869
1111106_K2NaGaF6,48.1254,29.5657
1112317_CsK2InF6,31.6029,14.6391
862683_Ac2GaCu,53.8993,12.3879
864927_Hf2ReOs,223.898,95.9929
864640_Ta2NbIr,240.475,109.48200000000001
865678_TiMn2V,218.732,107.133
30395_ScInAu2,112.133,21.2843
867144_CaMgHg2,43.952,25.4835
1111918_K2NaMoCl6,23.8094,6.42146
1112192_K2YHgF6,33.8177,11.2389
1114457_Rb2NaScI6,13.5843,4.9806
1112188_K2AlInF6,48.6146,9.021510000000001
1096926_Cs2InAgCl6,25.5568,8.25302
1112110_Cs2TlGaI6,12.5431,5.34397
989529_KRb2InCl6,16.3479,7.77968
866164_YMgHg2,65.5403,26.6984
977367_CdInRh2,145.967,55.7598
2388_CdTe,47.1759,16.4798
1111254_K2LiMoI6,17.6725,6.49925
1112193_K2YHgCl6,20.4968,4.57498
866165_YMgRh2,103.53299999999999,47.243
997616_BaC,37.7317,4.04186
1113413_CsRb2BiF6,29.3824,12.616
864906_MgSnIr2,181.345,73.66
866166_Y2PdRu,101.837,37.5901
865554_Mn2VGe,231.65,113.579
865877_Ti2RePt,221.27200000000002,36.4259
556353_Rb2NaNiF6,43.0472,26.8482
1114542_K2RbMoBr6,17.1556,4.82634
25099_Sr2Ni(NO2)6,93.527,28.5891
1111122_K2YTlF6,35.5879,15.661
999495_Na3N,24.7608,4.19953
1111496_K3BiI6,10.8626,4.0902400000000005
864902_MgTlRh2,124.023,42.7114
7473_LiCu2Si,91.3859,29.8162
1080123_Ba2LaIrO6,128.218,48.7743
1078303_Ba2YOsO6,143.889,74.428
862546_Sc2AlRu,114.11,43.9249
1111242_K2LiTlBr6,17.6246,7.418139999999999
1112607_Cs2YHgF6,33.5201,11.5417
1114420_Rb2LiIrF6,44.3188,22.2269
1112710_Cs2KScI6,10.9965,4.9349099999999995
1114487_RbInI3,12.8793,5.41846
1113621_Cs2AlAgCl6,25.8049,6.92183
1112628_Cs2YInCl6,17.9395,7.0754
989642_Cs2NaAlH6,23.3541,17.2446
30570_CrGaFe2,227.27700000000002,74.7948
23067_K2PdCl6,13.0453,6.74874
1113944_KNa2TiF6,40.9799,15.0336
567097_LiCu2Ge,66.9907,28.8331
1113024_Cs2LiBiCl6,19.1765,8.39166
866218_Ti2MnRh,187.727,93.9476
977409_NbTc2Ge,236.261,84.8489
865093_TiZnNi2,172.449,25.4842
1113434_Na2ScCuCl6,36.4954,6.96852
1111498_K3AuF6,37.5799,4.18816
29481_Rb2WBr6,11.63,5.55063
10688_CeO,149.52200000000002,65.2347
1114646_Rb2TlHgCl6,26.3014,5.1669
6798_Ba2NaReO6,77.9624,49.2804
865935_Li2MgSn,35.4028,18.9298
1111489_K3InF6,39.9149,19.2396
865469_Ti2MnRu,204.69799999999998,76.0529
1111060_KNa2AlF6,47.2351,22.0221
1018013_Ti2InNi,122.62799999999999,11.1932
1008275_Cr3Ni,233.081,41.6967
1111076_Li3GaF6,69.1737,32.9163
23251_KBr,11.3183,7.94457
1112925_Cs2GaAuI6,19.3517,9.061060000000001
1112783_Cs2KGaI6,10.7163,4.49907
1078203_CsTlF3,39.4175,13.9705
1112620_Cs2InAuCl6,29.4124,11.4877
1112441_K2YAgF6,41.3434,11.8757
22922_AgCl,42.6523,8.501610000000001
1114503_Rb3TiF6,36.8715,12.5869
1112027_K2TlHgCl6,26.8541,4.6756400000000005
1114539_KRb2InBr6,14.7026,6.31358
1078205_KRb2InF6,38.6825,12.9405
1113302_Cs2GaHgBr6,22.7139,5.93065
864857_NbZnCo2,193.856,39.7191
1113518_Cs2ScInF6,36.1848,16.5745
980665_Zn2CuIr,155.97,35.1841
1111236_K2NaBiI6,12.3446,5.438
1009755_Ca2Ge,34.5713,24.9554
6586_K2NaAlF6,45.6633,29.1674
989533_NaTl2InF6,50.8747,21.3913
1112078_K2TlAgI6,16.6916,5.99876
1113280_Cs2AlInCl6,20.2077,8.38725
24411_K2LiAlH6,30.726,23.4824
864807_HfZnNi2,144.918,22.5923
1111642_Na3SbF6,45.6358,20.1379
1153_Li2S,41.8763,33.1104
1078410_Ba2ZnTeO6,119.508,57.3865
865095_NaGaH8(NF3)2,44.4619,14.4286
862364_Sc2OsPt,161.717,62.8782
1112903_Cs2GaHgI6,17.9315,5.72551
989560_Cs2TlSiH6,18.8447,6.44837
644281_Mg7TiH16,62.5588,33.7251
16494_AlCrCu2,166.797,44.9419
1112546_K2InGaF6,36.2949,9.26924
976943_NaRe3,240.764,103.649
1113941_Na2LiBiF6,52.8514,19.7054
1111958_K2HgIrF6,13.4688,14.7742
989404_Ca6In2NF,97.0429,21.1681
1266_Na2Se,24.9835,15.6148
1113068_Cs2ScInI6,11.3389,5.5438
977360_AcF3,121.132,45.5505
8224_CaSnF6,62.2661,30.9714
989531_Cs2KGaF6,40.4881,19.8476
1114583_Rb2LiYCl6,21.5776,9.49515
1113940_Na2LiBiBr6,17.581,6.94867
866173_Y2RuRh,120.679,43.2722
865931_Ti2TcPd,180.424,65.7879
1794_BeO,249.99099999999999,190.39700000000002
1114585_Rb2NaBiBr6,14.4975,7.29253
972323_TaNbTc2,254.71200000000002,111.569
10008_Ca7Ge,21.2216,10.8783
864670_Ta2VOs,251.64700000000002,90.4926
2637_YSe,77.6776,18.4861
571386_CuCl,53.77,5.3087
1112477_K2AgBiBr6,22.5503,6.70931
989605_Cs2RbInF6,31.7751,11.8214
14088_Rb2PdF6,19.8544,11.2411
864969_Mg2PdRh,112.58200000000001,51.1611
1112900_Cs2TlHgBr6,20.9417,5.7352
1113556_Rb2YAgBr6,21.2019,6.855589999999999
1112111_Cs2AlTlI6,12.520999999999999,5.62482
1113293_Cs2TlHgF6,55.408,15.1711
1113294_Cs2ScHgCl6,22.1029,4.76809
2795_ZrC,236.695,175.755
1111231_K2NaInI6,13.2327,5.74195
8772_ScB12,218.56,134.35
862710_Sc2CdTc,105.439,36.2358
1078950_ReTc(SnO3)2,193.63,14.6311
30080_Li2GePd,64.8757,16.7364
1113551_Rb2InHgI6,17.212,4.38885
541047_ZrAlPd2,152.364,49.9821
